English lemma,Swedish lemma,POS,status
multi-ported memory,flerporterat minne,,both misspelt
digital pre-distortion,digital pre-distortion,,both misspelt
asic,asic,,both misspelt
online learning,online lärande,,swedish misspelt
prediction with expert advice,förutsägelse med expertråd,,english misspelt
multi-arm bandit problem,multi-arm bandit problem,,english misspelt
websecurity,webbsäkerhet,,both misspelt
front-end dependencies,frontend beroenden,,swedish misspelt
indoor 5g deployment,inomhus 5g-implementation,,both misspelt
gps-interference,gps-interferens,,swedish misspelt
lightsquared,lightsquared,,both misspelt
vsat,vsat,,both misspelt
web scraping,web scraping,,swedish misspelt
kalman filters,kalmanfilter,,english misspelt
uav,obemannade luftfarkoster,,english misspelt
imm,imm,,both misspelt
nonlinear filters,olinjära filter,,swedish misspelt
5g mobile communication,5g mobil kommunikation,,english misspelt
network function virtualization,virtualisering av nätverksfunktioner,,both misspelt
edge computing,edge computing,,swedish misspelt
operating system-level virtualization,operativsystem-nivå virtualisering,,both misspelt
ibeacon,ibeacon,,both misspelt
indoor positioning,inomhuspositionering,,swedish misspelt
bbr,bbr,,both misspelt
ns-3,ns-3,,swedish misspelt
information and communication technology,information och kommunikations teknologi,,english misspelt
public transportation,public transport,,swedish misspelt
iot,iot,,both misspelt
mesh networks,mesh nätverk,,swedish misspelt
raspberry pi 4,raspberry pi 4,,swedish misspelt
open services for life cycle collaboration,open services for life cycle collaboration,,both misspelt
oslc adaptor,oslc adaptor,,both misspelt
d2r server,d2r server,,both misspelt
resource description framework,resource description framework,,swedish misspelt
relational data mapping,relational data mapping,,swedish misspelt
oslc4j meta-model,oslc4j meta-model,,both misspelt
symbian,symbian,,both misspelt
arrows,arrows,,swedish misspelt
partial invertibility,partiell inverterbarhet,,both misspelt
clustering,klustring,,swedish misspelt
big data,big data,,swedish misspelt
k-means,k-means,,swedish misspelt
bfr,bfr,,both misspelt
single pass algorithms,single pass algorithms,,swedish misspelt
cfr,cfr,,both misspelt
pc-cfr,pc-cfr,,both misspelt
papr reduction,papr reduction,,both misspelt
ofdm,ofdm,,both misspelt
petalinux,petalinux,,both misspelt
winograd,winograd,,both misspelt
multivariate time series,mulitvariabla tidsserier,,swedish misspelt
data dimensionality,data dimentionalitet,,swedish misspelt
synthetic dataset,syntetisk datamängd,,english misspelt
codex,codex,,swedish misspelt
defects4j,defects4j,,both misspelt
patch generation,patchgenerering,,swedish misspelt
posit,posit,,swedish misspelt
softposit library,softposit,,both misspelt
nord pool,nord pool,,english misspelt
day-ahead,day-ahead,,swedish misspelt
intraday,intraday,,both misspelt
neural decomposition,neural dekomposition,,swedish misspelt
afdx,afdx,,both misspelt
avionics,avionik,,swedish misspelt
bandwidth utilisation,bandbreddsutyttjande,,swedish misspelt
legacy systems,legacysystem,,swedish misspelt
image recognition,image recognition,,swedish misspelt
preprocessing,preprocessing,,both misspelt
computer aided diagnosis,computer aided diagnosis,,swedish misspelt
grayscale,grayscale,,both misspelt
normalization,normalization,,swedish misspelt
histogram equalization,histogram equalization,,swedish misspelt
clahe,clahe,,both misspelt
l3 cache,l3-cache,,both misspelt
last level cache,sista nivåns cache,,swedish misspelt
intel cache allocation technology,intel cache allocation technology,,both misspelt
l3 cache allocation,l3 cache-allokering,,both misspelt
l3 cache performance improvement,l3-cache prestandaförbättring,,both misspelt
redis performance,redis prestanda,,english misspelt
graph500 performance,graph500 prestanda,,both misspelt
bzip2 performance,bzip2 prestanda,,both misspelt
webassembly,webassembly,,both misspelt
wasm,wasm,,both misspelt
pre-execution,förexekvering,,english misspelt
pre-initialization,förinitialisering,,english misspelt
wizer,wizer,,both misspelt
extended reality,extended reality,,swedish misspelt
mixed reality,mixed reality,,swedish misspelt
immersion,immersion,,swedish misspelt
agile software development,agil mjukvaruutveckling,,swedish misspelt
microservice tracing,mikroservicespårning,,english misspelt
online marketplace,onlinemarknad,,swedish misspelt
arcore,arcore,,both misspelt
feature detection,struktursdetektor,,swedish misspelt
markerless tracking,markörlös spårning,,english misspelt
google,google,,swedish misspelt
decompilation,dekompilering,,english misspelt
reverse engineering,reverse engineering,,swedish misspelt
neural machine translation,neural maskinöversättning,,swedish misspelt
rrt,rrt,,both misspelt
industrial iot,industriell iot,,both misspelt
contiki-ng,contiki-ng,,both misspelt
feature hashing,feature hashing,,swedish misspelt
classi- fication,klassi- ficering,,english misspelt
multifunctional antenna array,multifunktionell antenngrupp,,english misspelt
aesa,aesa,,both misspelt
stereolithography,stereolitografi,,english misspelt
ultra-wideband antenna,ultrabredbandig antenn,,swedish misspelt
embedded dra,inbäddad dra,,english misspelt
psf,psf,,swedish misspelt
cloud-native,cloud-native,,swedish misspelt
blockchain,blockkedja,,english misspelt
internet computer,internet computer,,swedish misspelt
dfinity,dfinity,,both misspelt
software-defined wide area network,software-defined wide area network,,swedish misspelt
software defined networking,software defined networking,,swedish misspelt
multiprotocol label switching,multiprotocol label switching,,both misspelt
analog-to-digital conversion,analog-till-digital omvandling,,english misspelt
peak holder,toppvärdesdetektor,,swedish misspelt
hornsgatan,hornsgatan,,both misspelt
random forest,random forest,,swedish misspelt
stockholm stad,stockholm stad,,both misspelt
support vector regression,support vector regression,,swedish misspelt
kaizen,kaizen,,both misspelt
qc-circles,qc-cirklar,,both misspelt
tqm,tqm,,both misspelt
cybersecurity,cybersäkerhet,,english misspelt
cyberattacks,cyberattacker,,english misspelt
snn,snn,,both misspelt
slayer,slayer,,swedish misspelt
srm,srm,,both misspelt
energy consumption,energikonsumption,,swedish misspelt
dvs,dvs,,both misspelt
event based vision,event based vision,,swedish misspelt
ea,ea,,swedish misspelt
it management,it hantering,,swedish misspelt
hci,mdi,,both misspelt
ux,ux,,both misspelt
benchmarking,benchmarking,,both misspelt
bigdatabench,bigdatabench,,both misspelt
hibench,hibench,,both misspelt
analy- sis,analys,,english misspelt
interfacing,gränssnitt,,english misspelt
cisco,cisco,,swedish misspelt
netcool,netcool,,both misspelt
opmanager,opmanager,,both misspelt
sparse neutral point clamped converter,sparse neutral point clamped converter,,swedish misspelt
silicon igbt,silicon igbt,,both misspelt
cyber-attack,cyber-attack,,english misspelt
internet security,internetsäkerhet,,swedish misspelt
cybersecurity threats,cybersäkerhetshot,,english misspelt
cybersecurity awareness,cybersäkerhetsmedvetenhet,,english misspelt
beamforming,strålformning,,english misspelt
magnetoencephalography,magnetoencefalografi,,english misspelt
cms,cms,,swedish misspelt
drupal,drupal,,both misspelt
joomla,joomla,,english misspelt
wordpress,wordpress,,both misspelt
responsive design,responsive design,,swedish misspelt
open-sourc,open-source,,both misspelt
autoencoder,autokodare,,english misspelt
graph neural network,graph neural network,,swedish misspelt
fast gradient sign method,fast gradient sign method,,swedish misspelt
pv,pv,,both misspelt
swedish power system,sveriges kraftsystem,,swedish misspelt
power output fluctuations,effekförändringar,,swedish misspelt
ivvr,iivvr,,both misspelt
media transcoding,media omkodning,,english misspelt
sip,sip,,swedish misspelt
diastar,diastar,,both misspelt
speaker diarization,talardiarisering,,both misspelt
dwdm,dwdm,,both misspelt
mobile fronthaul,mobile fronthaul,,both misspelt
c-ran,c-ran,,swedish misspelt
awg,awg,,both misspelt
tff,tff,,both misspelt
interleaver,interleaver,,both misspelt
website,webbsida,,swedish misspelt
javascript,javascript,,both misspelt
jquery,jquery,,both misspelt
ugc,ugc,,both misspelt
youtube,youtube,,both misspelt
enterprise architecure,företagsarkitektur,,english misspelt
enterprise architecure framework,ramverk för företagsarkitektur,,english misspelt
visual slam,visual slam,,swedish misspelt
rgb-d vision,rgb-d syn,,both misspelt
multi-object tracking,multi-objekt spårning,,english misspelt
image segmentation,bildsegmentation,,swedish misspelt
kafka,apache kafka,,swedish misspelt
rabbitmq,rabbitmq,,both misspelt
cyber security,cybersäkerhet,,english misspelt
louvain method,louvain metoden,,both misspelt
normalizing flows,normalizing flows,,swedish misspelt
generative adversarial networks,generative adversarial networks,,both misspelt
maximumlikelihood estimation,maximum likelihood-metoden,,both misspelt
real non-volume preserving flow,real non-volume preserving flow,,swedish misspelt
misspecification,felspecificerade modeller,,english misspelt
deepant,deepant,,both misspelt
rocket,rocket,,swedish misspelt
ocsvm,ocsvm,,both misspelt
predictive maintenance,prediktivt underhåll,,swedish misspelt
long short-term memory,long short-term memory,,swedish misspelt
rnn,rnn,,both misspelt
stl,stl,,both misspelt
tree augmented naive bayes,tree augmented naive bayes,,swedish misspelt
agile methodologies,agila metoder,,swedish misspelt
scrum,scrum,,swedish misspelt
customization,anpassning,,english misspelt
it projects,it-projekt,,swedish misspelt
long-term evolution,lte,,swedish misspelt
printed circuit board,printed circuit board,,swedish misspelt
altium designer,altium designer,,both misspelt
schottky diodes,schottky-dioder,,both misspelt
multiband lte antenna,multiband lte-antenn,,both misspelt
low power internet of things,lågeffekt internet of things,,both misspelt
antennaimplant,antennimplant,,both misspelt
medical implant communicationsystem,medical implant communication system,,both misspelt
antenna,antenna,,swedish misspelt
hf,hf,,swedish misspelt
lte,lte,,both misspelt
4g,4g,,both misspelt
abnormal credit risk behaviour,abnomralt kreditbeteende,,swedish misspelt
shap-values,shap-värden,,both misspelt
ucd methods,användarcentrerade designmetoder,,english misspelt
web maps,webbkartor,,swedish misspelt
shapefiles,shapefiler,,both misspelt
data preprocessing,data förprocessering,,both misspelt
psd2,psd2,,both misspelt
open banking,open banking,,swedish misspelt
apple watch,apple watch,,swedish misspelt
apple,apple,,swedish misspelt
smartwatch,smartklocka,,both misspelt
smartwatches,smartklockor,,both misspelt
capacitive deionization,kapacitiv avjonisering,,both misspelt
cyclic voltammetry,cyklisk voltammetri,,both misspelt
polyaniline,polyanilin,,english misspelt
prussian blue  and redox reactions,preussisk blå  och redoxreaktioner,,english misspelt
damping of ssci,dämpning av ssci,,both misspelt
dfig,dfig,,both misspelt
pscad,pscad,,both misspelt
harmonic injection,harmonisk injection,,swedish misspelt
explainable artifical intelligence,förklarbar artificiell intelligens,,english misspelt
formal verification of machine learning models,formell verifiering av maskininlärningsmodeller,,english misspelt
j2ee,j2ee,,both misspelt
inertial measurement unit,inertial measurement unit,,swedish misspelt
zero velocity updates,zero velocity updates,,swedish misspelt
temporal convolutional network,temporal convolutional network,,both misspelt
posegraph optimization,optimering av grafbaserad positionering,,both misspelt
gamification,gamification,,both misspelt
igaming,igaming,,both misspelt
online casino,online kasinon,,swedish misspelt
octalysis framework,octalysis framework,,both misspelt
spatial channel model,spatial channel model,,swedish misspelt
deep generative networks,deep generative networks,,swedish misspelt
variational autoencoder,variational autoencoder,,both misspelt
memoization,memoization,,both misspelt
internet of things,sakernas internet,,both misspelt
embeddings,inbäddningar,,english misspelt
nlp,nlp,,swedish misspelt
max cut,max cut,,swedish misspelt
internet of things,sakernas internet,,both misspelt
long short term memory,long short term memory,,swedish misspelt
vlsi,vlsi,,both misspelt
aspect-based sentiment analysis,aspektbaserad sentimentanalys,,swedish misspelt
aspect extraction,aspektextraktion,,swedish misspelt
business intelligence,business intelligence,,swedish misspelt
